"Grid.ID","Date","ENS","UTMX","UTMY","WS","T2","PBL00","PBL12","TP","POP","ALT","Imperviousness","Builtup","roads","highways","HUD","LUD","Agriculture","Forests"
"3628","07-Jul-2022",6.34,734.818,5216.558,3.1,281.4,16.5,716.1,1.11,640.1,2380.0,1.579e-01,4.505e-04,7.128e+03,0.000e+00,0.000e+00,0.000e+00,3.831e-02,7.123e-01
"3629","07-Jul-2022",5.84,738.818,5216.558,3.1,280.4,16.1,718.0,1.23,539.2,1704.0,9.041e-02,2.972e-04,4.107e+03,0.000e+00,0.000e+00,0.000e+00,2.483e-02,8.669e-01
"3630","07-Jul-2022",5.74,742.818,5216.558,3.0,280.1,17.1,712.9,1.35,16.3,2712.0,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,3.110e-03,7.947e-01
"4009","07-Jul-2022",6.90,722.818,5212.558,2.7,283.1,66.7,645.3,1.09,684.9,2553.0,1.718e-01,1.560e-03,2.133e+03,0.000e+00,0.000e+00,0.000e+00,3.069e-02,6.591e-01
"4010","07-Jul-2022",6.88,726.818,5212.558,2.8,282.9,64.1,689.7,0.89,2388.6,1899.0,6.519e-01,5.251e-03,8.445e+03,0.000e+00,1.094e-02,0.000e+00,6.834e-02,7.660e-01
"4011","07-Jul-2022",6.60,730.818,5212.558,2.9,282.6,47.5,725.9,0.80,1636.0,1503.0,3.891e-01,2.092e-03,1.044e+04,0.000e+00,8.120e-03,0.000e+00,6.195e-02,8.722e-01
"4012","07-Jul-2022",6.24,734.818,5212.558,2.9,281.9,37.8,735.5,0.92,1145.4,1731.0,2.147e-01,7.804e-04,1.007e+04,0.000e+00,0.000e+00,0.000e+00,5.682e-02,9.133e-01
"4013","07-Jul-2022",5.87,738.818,5212.558,2.9,281.0,29.4,737.3,1.10,578.0,2947.0,1.286e-01,3.536e-04,5.797e+03,0.000e+00,0.000e+00,0.000e+00,3.230e-02,7.773e-01
"4385","07-Jul-2022",6.87,690.818,5208.558,3.3,285.3,64.6,870.8,0.77,261.9,1521.0,1.469e+00,3.073e-03,8.300e+03,1.480e+04,0.000e+00,1.311e-02,7.253e-03,5.701e-01
"4387","07-Jul-2022",6.62,698.818,5208.558,3.3,283.3,56.2,771.0,0.96,277.9,2319.0,1.039e-01,8.344e-04,0.000e+00,0.000e+00,0.000e+00,0.000e+00,3.683e-02,6.135e-01
"4392","07-Jul-2022",6.07,718.818,5208.558,2.2,283.5,73.8,699.5,1.28,1225.2,2523.0,4.582e-01,3.602e-03,2.839e+03,0.000e+00,4.644e-03,0.000e+00,4.712e-02,7.870e-01
"4393","07-Jul-2022",6.42,722.818,5208.558,2.4,283.7,111.5,697.2,0.94,3802.7,1615.0,9.763e-01,9.433e-03,9.136e+03,0.000e+00,1.520e-02,0.000e+00,1.012e-01,8.549e-01
"4394","07-Jul-2022",6.42,726.818,5208.558,2.5,283.5,111.5,704.8,0.75,3432.0,1296.0,7.418e-01,6.082e-03,1.050e+04,0.000e+00,1.553e-02,0.000e+00,9.594e-02,8.550e-01
"4395","07-Jul-2022",6.22,730.818,5208.558,2.6,283.1,88.5,718.6,0.64,2123.9,2383.0,4.757e-01,3.503e-03,9.564e+03,0.000e+00,1.094e-02,0.000e+00,7.065e-02,8.964e-01
"4396","07-Jul-2022",6.08,734.818,5208.558,2.6,282.5,67.9,724.7,0.77,475.9,2499.0,1.095e-01,4.186e-04,4.960e+03,0.000e+00,0.000e+00,0.000e+00,3.888e-02,9.230e-01
"4764","07-Jul-2022",5.77,670.818,5204.558,1.8,284.7,21.5,1062.9,0.99,16.6,3104.0,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,6.694e-01
"4765","07-Jul-2022",6.07,674.818,5204.558,2.0,285.6,24.9,1036.8,1.04,202.5,2130.0,6.465e-02,4.550e-04,0.000e+00,0.000e+00,0.000e+00,0.000e+00,1.138e-02,7.813e-01
"4766","07-Jul-2022",6.42,678.818,5204.558,2.4,286.4,28.8,997.9,1.11,440.4,1605.0,7.626e-02,4.591e-04,0.000e+00,0.000e+00,0.000e+00,0.000e+00,2.304e-02,7.663e-01
