"Grid.ID","Date","ENS","UTMX","UTMY","WS","T2","PBL00","PBL12","TP","POP","ALT","Imperviousness","Builtup","roads","highways","HUD","LUD","Agriculture","Forests"
"3628","09-Jan-2022",4.48,734.818,5216.558,2.3,263.1,186.5,861.4,0.41,640.1,2380.0,1.579e-01,4.505e-04,7.128e+03,0.000e+00,0.000e+00,0.000e+00,3.831e-02,7.123e-01
"3629","09-Jan-2022",4.10,738.818,5216.558,2.5,261.9,157.0,811.1,0.53,539.2,1704.0,9.041e-02,2.972e-04,4.107e+03,0.000e+00,0.000e+00,0.000e+00,2.483e-02,8.669e-01
"3630","09-Jan-2022",4.00,742.818,5216.558,2.2,261.5,142.8,774.6,0.57,16.3,2712.0,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,3.110e-03,7.947e-01
"4009","09-Jan-2022",6.04,722.818,5212.558,1.9,265.1,156.5,944.6,0.32,684.9,2553.0,1.718e-01,1.560e-03,2.133e+03,0.000e+00,0.000e+00,0.000e+00,3.069e-02,6.591e-01
"4010","09-Jan-2022",5.67,726.818,5212.558,2.0,264.8,164.2,933.5,0.29,2388.6,1899.0,6.519e-01,5.251e-03,8.445e+03,0.000e+00,1.094e-02,0.000e+00,6.834e-02,7.660e-01
"4011","09-Jan-2022",5.01,730.818,5212.558,2.1,264.3,165.7,924.9,0.29,1636.0,1503.0,3.891e-01,2.092e-03,1.044e+04,0.000e+00,8.120e-03,0.000e+00,6.195e-02,8.722e-01
"4012","09-Jan-2022",4.56,734.818,5212.558,2.2,263.3,148.9,894.5,0.36,1145.4,1731.0,2.147e-01,7.804e-04,1.007e+04,0.000e+00,0.000e+00,0.000e+00,5.682e-02,9.133e-01
"4013","09-Jan-2022",4.17,738.818,5212.558,2.3,262.2,126.9,858.3,0.45,578.0,2947.0,1.286e-01,3.536e-04,5.797e+03,0.000e+00,0.000e+00,0.000e+00,3.230e-02,7.773e-01
"4385","09-Jan-2022",5.38,690.818,5208.558,2.7,266.5,135.4,1027.9,0.10,261.9,1521.0,1.469e+00,3.073e-03,8.300e+03,1.480e+04,0.000e+00,1.311e-02,7.253e-03,5.701e-01
"4387","09-Jan-2022",4.75,698.818,5208.558,2.6,264.8,152.6,1005.9,0.17,277.9,2319.0,1.039e-01,8.344e-04,0.000e+00,0.000e+00,0.000e+00,0.000e+00,3.683e-02,6.135e-01
"4392","09-Jan-2022",6.23,718.818,5208.558,1.5,265.0,93.7,973.4,0.32,1225.2,2523.0,4.582e-01,3.602e-03,2.839e+03,0.000e+00,4.644e-03,0.000e+00,4.712e-02,7.870e-01
"4393","09-Jan-2022",6.43,722.818,5208.558,1.7,265.2,106.4,940.6,0.26,3802.7,1615.0,9.763e-01,9.433e-03,9.136e+03,0.000e+00,1.520e-02,0.000e+00,1.012e-01,8.549e-01
"4394","09-Jan-2022",6.02,726.818,5208.558,1.7,265.1,111.2,932.6,0.23,3432.0,1296.0,7.418e-01,6.082e-03,1.050e+04,0.000e+00,1.553e-02,0.000e+00,9.594e-02,8.550e-01
"4395","09-Jan-2022",5.22,730.818,5208.558,1.8,264.6,111.4,940.8,0.23,2123.9,2383.0,4.757e-01,3.503e-03,9.564e+03,0.000e+00,1.094e-02,0.000e+00,7.065e-02,8.964e-01
"4396","09-Jan-2022",4.71,734.818,5208.558,1.9,263.8,99.2,927.9,0.27,475.9,2499.0,1.095e-01,4.186e-04,4.960e+03,0.000e+00,0.000e+00,0.000e+00,3.888e-02,9.230e-01
"4764","09-Jan-2022",5.32,670.818,5204.558,1.3,264.3,66.0,1025.1,0.23,16.6,3104.0,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,6.694e-01
"4765","09-Jan-2022",5.84,674.818,5204.558,1.4,265.5,58.5,1046.9,0.19,202.5,2130.0,6.465e-02,4.550e-04,0.000e+00,0.000e+00,0.000e+00,0.000e+00,1.138e-02,7.813e-01
"4766","09-Jan-2022",6.34,678.818,5204.558,1.7,266.8,51.7,1066.5,0.15,440.4,1605.0,7.626e-02,4.591e-04,0.000e+00,0.000e+00,0.000e+00,0.000e+00,2.304e-02,7.663e-01
"4767","09-Jan-2022",6.31,682.818,5204.558,2.0,267.3,52.6,1076.8,0.12,1699.5,2136.0,6.861e-01,3.989e-03,4.720e+03,7.328e+03,4.077e-03,3.348e-03,5.258e-02,6.885e-01
"4768","09-Jan-2022",6.22,686.818,5204.558,2.3,267.6,55.3,1084.8,0.09,1489.0,1729.0,1.117e+00,3.832e-03,1.067e+04,1.933e+04,4.272e-03,1.116e-02,4.405e-02,7.922e-01
"4769","09-Jan-2022",5.66,690.818,5204.558,2.5,267.0,74.8,1073.4,0.09,685.8,2111.0,9.224e-01,2.039e-03,1.003e+04,1.770e+04,0.000e+00,1.653e-02,6.742e-02,8.870e-01
"4770","09-Jan-2022",5.16,694.818,5204.558,2.6,266.3,89.2,1066.7,0.09,602.1,1557.0,1.102e-01,8.781e-04,0.000e+00,0.000e+00,0.000e+00,0.000e+00,8.844e-02,8.602e-01
"4771","09-Jan-2022",4.96,698.818,5204.558,2.4,265.6,88.4,1075.1,0.13,367.5,1646.0,6.979e-02,5.129e-04,0.000e+00,0.000e+00,0.000e+00,0.000e+00,6.362e-02,9.198e-01
"4772","09-Jan-2022",4.89,702.818,5204.558,2.3,264.9,84.1,1076.9,0.16,144.6,2204.0,4.357e-02,3.748e-04,0.000e+00,0.000e+00,0.000e+00,0.000e+00,2.003e-02,9.522e-01
"4773","09-Jan-2022",5.13,706.818,5204.558,1.9,264.6,71.2,1061.6,0.20,3.1,2763.0,2.096e-03,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,2.728e-03,8.939e-01
